lease_id,property_id,market,property_class,unit_type,unit_sqft,tenure_months,lease_start_date,current_rent,market_rent,rent_increase_offered_pct,concession_months,maintenance_requests_count,maintenance_avg_response_days,feedback_theme,feedback_sentiment,feedback_text,renewed
L00011,PR001,Tampa,B,Studio,587.0,34.0,2023-03-05,837.0,861.0,2.89,0,0,0.2,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00012,PR001,Tampa,B,1BR,756.0,2.1,2025-10-30,982.0,1036.0,5.49,2,0,1.3,Amenities,positive,Amenity spaces are a great value for the rent.,1
L00013,PR001,Tampa,B,2BR,1124.0,1.5,2025-11-17,1600.0,1713.0,7.11,0,1,0.77,Management Responsiveness,positive,Management team is responsive and easy to work with.,1
L00014,PR001,Tampa,B,1BR,679.0,4.1,2025-08-29,910.0,990.0,8.75,0,0,0.55,Lighting,negative,Common area lighting could be improved.,0
L00015,PR001,Tampa,B,1BR,755.0,18.1,2024-06-29,1115.0,1190.0,6.7,0,0,0.74,Noise,positive,"Building is quiet, never had a noise complaint.",0
L00016,PR001,Tampa,B,2BR,1133.0,12.6,2024-12-15,1522.0,1685.0,10.73,0,2,1.42,Safety,negative,"Front gate has been broken, security is a concern.",0
L00017,PR001,Tampa,B,2BR,1127.0,1.5,2025-11-17,1515.0,1585.0,4.63,0,0,0.4,Cleanliness,negative,Hallways and trash areas need more attention.,1
L00018,PR001,Tampa,B,1BR,773.0,35.1,2023-01-29,1112.0,1114.0,0.2,2,0,0.55,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00019,PR001,Tampa,B,2BR,1081.0,21.9,2024-03-08,1514.0,1575.0,3.98,0,1,1.63,Maintenance,negative,Maintenance team is slow to respond to requests.,1
L00020,PR001,Tampa,B,1BR,752.0,1.0,2025-12-02,1197.0,1241.0,3.66,0,0,0.2,Amenities,negative,Gym equipment has been broken for months.,1
L00021,PR001,Tampa,B,2BR,989.0,14.8,2024-10-10,1249.0,1138.0,-5.0,0,1,1.11,Noise,negative,Noise from neighboring units is a constant issue.,1
L00022,PR001,Tampa,B,2BR,1031.0,20.7,2024-04-14,1453.0,1471.0,1.19,0,1,0.2,Lighting,negative,Parking lot lighting is poor at night.,0
L00023,PR001,Tampa,B,3BR,1366.0,6.6,2025-06-16,2041.0,2155.0,5.57,0,0,0.2,Amenities,negative,Pool area feels outdated and underused.,1
L00024,PR001,Tampa,B,2BR,1041.0,1.0,2025-12-02,1407.0,1434.0,1.88,2,0,0.39,Cleanliness,negative,Common areas are not kept clean.,0
L00025,PR001,Tampa,B,2BR,1117.0,1.1,2025-11-28,1479.0,1490.0,0.77,0,1,1.01,Amenities,negative,Pool area feels outdated and underused.,1
L00026,PR001,Tampa,B,2BR,1105.0,1.5,2025-11-16,1466.0,1592.0,8.56,0,0,1.69,Management Responsiveness,negative,Hard to get a response from the leasing office.,1
L00027,PR001,Tampa,B,1BR,801.0,25.7,2023-11-12,1013.0,1007.0,-0.58,0,1,0.59,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00028,PR001,Tampa,B,1BR,786.0,33.8,2023-03-10,1189.0,1279.0,7.56,0,0,0.2,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00029,PR001,Tampa,B,2BR,1092.0,1.8,2025-11-07,1499.0,1459.0,-2.66,0,0,1.13,Safety,negative,Parking area doesn't feel very secure at night.,0
L00030,PR001,Tampa,B,1BR,778.0,3.8,2025-09-09,1060.0,1249.0,17.8,0,1,2.95,Safety,positive,"Always feel safe on the property, good lighting and gated access.",0
L00031,PR001,Tampa,B,2BR,1134.0,2.5,2025-10-16,1386.0,1426.0,2.92,2,0,0.6,Lighting,negative,Parking lot lighting is poor at night.,0
L00032,PR001,Tampa,B,Studio,507.0,2.9,2025-10-06,648.0,664.0,2.38,1,1,0.2,Cleanliness,positive,Property is always clean and well-maintained.,1
L00033,PR001,Tampa,B,1BR,738.0,25.4,2023-11-20,1124.0,1233.0,9.72,1,0,0.67,Management Responsiveness,positive,Management team is responsive and easy to work with.,0
L00034,PR001,Tampa,B,1BR,746.0,5.7,2025-07-14,1064.0,1084.0,1.91,0,0,0.49,Noise,negative,Thin walls make it hard to get any quiet.,1
L00035,PR001,Tampa,B,1BR,732.0,5.2,2025-07-27,1097.0,1220.0,11.27,0,1,0.41,Amenities,negative,Pool area feels outdated and underused.,0
L00036,PR001,Tampa,B,2BR,1135.0,3.6,2025-09-14,1688.0,1787.0,5.86,1,0,1.44,Lighting,positive,"Well-lit throughout, common areas and parking included.",0
L00037,PR001,Tampa,B,1BR,726.0,13.1,2024-11-29,956.0,989.0,3.41,0,0,1.87,Cleanliness,positive,Property is always clean and well-maintained.,1
L00038,PR001,Tampa,B,1BR,797.0,6.7,2025-06-13,1278.0,1315.0,2.87,2,0,1.18,Safety,negative,Parking area doesn't feel very secure at night.,1
L00039,PR001,Tampa,B,1BR,736.0,19.1,2024-05-31,1151.0,1267.0,10.04,1,0,0.36,Amenities,positive,Amenity spaces are a great value for the rent.,0
L00040,PR001,Tampa,B,1BR,768.0,3.2,2025-09-26,1038.0,1092.0,5.15,0,0,1.62,Safety,negative,Parking area doesn't feel very secure at night.,0
L00041,PR001,Tampa,B,2BR,1089.0,21.7,2024-03-13,1198.0,1272.0,6.16,0,1,0.2,Amenities,positive,Amenity spaces are a great value for the rent.,1
L00042,PR001,Tampa,B,Studio,495.0,13.0,2024-12-04,678.0,723.0,6.71,0,0,0.2,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00043,PR001,Tampa,B,2BR,1079.0,1.7,2025-11-11,1532.0,1604.0,4.66,2,0,0.2,Cleanliness,negative,Hallways and trash areas need more attention.,0
L00044,PR002,Charlotte,A,1BR,733.0,7.5,2025-05-18,1447.0,1573.0,8.72,1,1,2.41,Amenities,positive,"Love the amenities, especially the fitness center.",1
L00045,PR002,Charlotte,A,2BR,1088.0,26.2,2023-10-28,2208.0,2334.0,5.71,0,2,1.39,Safety,negative,Parking area doesn't feel very secure at night.,0
L00046,PR002,Charlotte,A,2BR,1054.0,13.9,2024-11-06,2032.0,2000.0,-1.56,0,2,0.64,Maintenance,negative,Still waiting on a repair I submitted weeks ago.,1
L00047,PR002,Charlotte,A,2BR,1046.0,18.6,2024-06-15,1946.0,2101.0,8.01,1,3,4.4,Noise,positive,"Building is quiet, never had a noise complaint.",0
L00048,PR002,Charlotte,A,2BR,1051.0,20.4,2024-04-20,1841.0,1878.0,2.01,0,2,1.11,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00049,PR002,Charlotte,A,1BR,814.0,9.8,2025-03-08,1412.0,1450.0,2.69,0,5,3.08,Noise,positive,"Building is quiet, never had a noise complaint.",0
L00050,PR002,Charlotte,A,Studio,540.0,11.0,2025-02-02,892.0,905.0,1.46,2,2,2.27,Amenities,negative,Gym equipment has been broken for months.,1
L00051,PR002,Charlotte,A,1BR,732.0,10.1,2025-02-28,1477.0,1559.0,5.51,2,3,2.49,Safety,negative,Parking area doesn't feel very secure at night.,1
L00052,PR002,Charlotte,A,1BR,658.0,12.4,2024-12-20,1315.0,1316.0,0.07,0,4,2.24,Amenities,positive,"Love the amenities, especially the fitness center.",1
L00053,PR002,Charlotte,A,2BR,997.0,1.0,2025-12-02,1670.0,1812.0,8.51,2,1,1.86,Cleanliness,positive,Property is always clean and well-maintained.,0
L00054,PR002,Charlotte,A,2BR,1107.0,7.0,2025-06-01,1959.0,2024.0,3.31,1,2,2.71,Lighting,positive,"Well-lit throughout, common areas and parking included.",1
L00055,PR002,Charlotte,A,2BR,965.0,13.0,2024-12-01,1813.0,1852.0,2.18,0,3,1.8,Noise,negative,Noise from neighboring units is a constant issue.,0
L00056,PR002,Charlotte,A,1BR,761.0,12.7,2024-12-10,1368.0,1474.0,7.76,1,0,3.41,Cleanliness,negative,Hallways and trash areas need more attention.,0
L00057,PR002,Charlotte,A,2BR,1022.0,22.0,2024-03-02,1656.0,1695.0,2.4,0,3,2.81,Management Responsiveness,positive,Management team is responsive and easy to work with.,0
L00058,PR002,Charlotte,A,1BR,753.0,14.9,2024-10-06,1324.0,1440.0,8.74,0,4,2.84,Maintenance,positive,Quick turnaround on my maintenance request.,0
L00059,PR002,Charlotte,A,1BR,752.0,67.8,2020-05-10,1538.0,1675.0,8.9,1,4,1.73,Lighting,positive,"Well-lit throughout, common areas and parking included.",1
L00060,PR002,Charlotte,A,2BR,1087.0,4.7,2025-08-12,1918.0,1867.0,-2.67,2,2,2.01,Maintenance,negative,Maintenance team is slow to respond to requests.,1
L00061,PR002,Charlotte,A,2BR,1059.0,6.2,2025-06-26,1918.0,2102.0,9.55,2,3,1.05,Amenities,positive,"Love the amenities, especially the fitness center.",1
L00062,PR002,Charlotte,A,1BR,734.0,6.8,2025-06-09,1251.0,1209.0,-3.31,0,2,1.89,Lighting,negative,Parking lot lighting is poor at night.,0
L00063,PR002,Charlotte,A,Studio,501.0,8.8,2025-04-10,950.0,1043.0,9.86,0,2,1.21,Safety,negative,Parking area doesn't feel very secure at night.,1
L00064,PR002,Charlotte,A,1BR,768.0,25.3,2023-11-24,1415.0,1616.0,14.14,2,1,3.55,Cleanliness,positive,Property is always clean and well-maintained.,0
L00065,PR002,Charlotte,A,Studio,541.0,3.8,2025-09-09,946.0,1025.0,8.37,1,0,2.29,Safety,positive,"Always feel safe on the property, good lighting and gated access.",0
L00066,PR002,Charlotte,A,2BR,1014.0,20.9,2024-04-05,1711.0,1595.0,-5.0,2,4,2.41,Amenities,positive,"Love the amenities, especially the fitness center.",1
L00067,PR002,Charlotte,A,1BR,748.0,7.3,2025-05-25,1484.0,1623.0,9.32,1,2,2.02,Maintenance,negative,Still waiting on a repair I submitted weeks ago.,0
L00068,PR002,Charlotte,A,2BR,1091.0,12.9,2024-12-06,1804.0,2078.0,15.23,0,6,2.44,Lighting,negative,Common area lighting could be improved.,1
L00069,PR002,Charlotte,A,1BR,757.0,14.0,2024-11-01,1427.0,1462.0,2.48,2,3,4.71,Safety,negative,Parking area doesn't feel very secure at night.,1
L00070,PR002,Charlotte,A,Studio,524.0,6.5,2025-06-17,836.0,868.0,3.83,1,2,1.94,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00071,PR002,Charlotte,A,1BR,735.0,10.1,2025-03-02,1402.0,1375.0,-1.94,0,4,1.59,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00072,PR002,Charlotte,A,1BR,760.0,7.5,2025-05-20,1473.0,1555.0,5.56,0,3,2.77,Lighting,negative,Common area lighting could be improved.,0
L00073,PR002,Charlotte,A,1BR,773.0,1.0,2025-12-02,1508.0,1664.0,10.35,1,6,0.2,Cleanliness,negative,Hallways and trash areas need more attention.,1
L00074,PR002,Charlotte,A,1BR,755.0,8.0,2025-05-02,1369.0,1471.0,7.49,0,3,2.31,Maintenance,positive,Quick turnaround on my maintenance request.,1
L00075,PR002,Charlotte,A,2BR,1107.0,1.4,2025-11-19,2219.0,2656.0,19.71,0,1,1.87,Safety,negative,Parking area doesn't feel very secure at night.,1
L00076,PR002,Charlotte,A,1BR,787.0,7.3,2025-05-26,1640.0,1708.0,4.17,0,2,1.25,Cleanliness,positive,Property is always clean and well-maintained.,1
L00077,PR002,Charlotte,A,3BR,1225.0,12.6,2024-12-15,2199.0,2107.0,-4.15,2,2,2.75,Cleanliness,negative,Hallways and trash areas need more attention.,1
L00078,PR003,Denver,A,1BR,742.0,14.2,2024-10-28,1119.0,1248.0,11.46,0,0,0.2,Management Responsiveness,positive,Management team is responsive and easy to work with.,0
L00079,PR003,Denver,A,1BR,714.0,20.0,2024-05-02,1054.0,1082.0,2.64,0,2,1.1,Cleanliness,positive,Property is always clean and well-maintained.,1
L00080,PR003,Denver,A,2BR,1060.0,2.4,2025-10-19,1589.0,1651.0,3.89,2,1,0.2,Amenities,negative,Gym equipment has been broken for months.,0
L00081,PR003,Denver,A,2BR,1139.0,8.7,2025-04-13,2021.0,2027.0,0.26,1,2,1.96,Amenities,negative,Pool area feels outdated and underused.,1
L00082,PR003,Denver,A,1BR,821.0,1.0,2025-12-02,1309.0,1203.0,-5.0,1,1,0.31,Maintenance,negative,Maintenance team is slow to respond to requests.,1
L00083,PR003,Denver,A,2BR,1163.0,4.0,2025-09-03,2214.0,2401.0,8.42,0,2,0.98,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00084,PR003,Denver,A,2BR,1054.0,18.1,2024-06-29,1680.0,1809.0,7.68,0,2,1.06,Lighting,negative,Common area lighting could be improved.,0
L00085,PR003,Denver,A,2BR,1020.0,67.3,2020-05-28,1701.0,1745.0,2.59,0,2,0.52,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00086,PR003,Denver,A,3BR,1360.0,1.5,2025-11-18,2451.0,2557.0,4.33,0,1,1.36,Safety,negative,Parking area doesn't feel very secure at night.,1
L00087,PR003,Denver,A,1BR,684.0,7.2,2025-05-28,1264.0,1347.0,6.58,0,0,0.3,Maintenance,negative,Maintenance team is slow to respond to requests.,1
L00088,PR003,Denver,A,2BR,1097.0,22.5,2024-02-16,2035.0,1957.0,-3.81,2,0,1.65,Management Responsiveness,negative,Hard to get a response from the leasing office.,1
L00089,PR003,Denver,A,1BR,744.0,3.2,2025-09-26,1317.0,1335.0,1.35,1,2,0.2,Noise,negative,Thin walls make it hard to get any quiet.,1
L00090,PR003,Denver,A,2BR,1055.0,11.3,2025-01-22,1847.0,1995.0,7.97,0,1,0.9,Cleanliness,positive,Property is always clean and well-maintained.,1
L00091,PR003,Denver,A,2BR,994.0,18.5,2024-06-18,1698.0,1660.0,-2.27,1,0,2.71,Management Responsiveness,negative,Hard to get a response from the leasing office.,1
L00092,PR003,Denver,A,2BR,1108.0,13.4,2024-11-20,1913.0,2018.0,5.47,1,2,0.2,Management Responsiveness,negative,Management is difficult to reach when issues come up.,0
L00093,PR003,Denver,A,2BR,1051.0,2.9,2025-10-05,1677.0,1630.0,-2.78,2,3,0.2,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00094,PR003,Denver,A,1BR,706.0,6.1,2025-06-29,1108.0,1178.0,6.33,1,1,1.29,Maintenance,negative,Still waiting on a repair I submitted weeks ago.,1
L00095,PR003,Denver,A,2BR,925.0,21.4,2024-03-21,1526.0,1584.0,3.82,1,1,0.95,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00096,PR003,Denver,A,3BR,1348.0,11.3,2025-01-23,2202.0,2112.0,-4.08,0,0,1.13,Maintenance,negative,Still waiting on a repair I submitted weeks ago.,1
L00097,PR003,Denver,A,3BR,1470.0,1.0,2025-12-02,2359.0,2591.0,9.82,2,0,1.26,Maintenance,negative,Maintenance request took 1 days to get resolved.,0
L00098,PR003,Denver,A,Studio,563.0,20.0,2024-05-02,968.0,971.0,0.33,0,1,1.41,Maintenance,negative,Maintenance request took 1 days to get resolved.,1
L00099,PR003,Denver,A,1BR,733.0,1.0,2025-12-02,1279.0,1278.0,-0.05,0,2,1.88,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00100,PR003,Denver,A,1BR,727.0,19.2,2024-05-29,1207.0,1267.0,5.0,1,1,1.18,Cleanliness,positive,Property is always clean and well-maintained.,1
L00101,PR003,Denver,A,2BR,1105.0,3.2,2025-09-27,1985.0,2179.0,9.74,0,2,0.53,Cleanliness,positive,Property is always clean and well-maintained.,1
L00102,PR003,Denver,A,2BR,1026.0,44.4,2022-04-23,1577.0,1560.0,-1.08,0,1,1.45,Lighting,negative,Common area lighting could be improved.,1
L00103,PR003,Denver,A,1BR,761.0,6.4,2025-06-20,1242.0,1295.0,4.31,0,1,2.67,Lighting,positive,"Well-lit throughout, common areas and parking included.",1
L00104,PR003,Denver,A,1BR,779.0,5.5,2025-07-17,1230.0,1305.0,6.14,0,1,0.64,Maintenance,positive,Quick turnaround on my maintenance request.,0
L00105,PR003,Denver,A,2BR,1146.0,2.3,2025-10-25,1680.0,1805.0,7.47,0,2,0.2,Lighting,negative,Parking lot lighting is poor at night.,1
L00106,PR003,Denver,A,2BR,1075.0,5.1,2025-07-30,1764.0,1850.0,4.88,1,0,1.88,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00107,PR003,Denver,A,2BR,1069.0,29.3,2023-07-26,1751.0,1789.0,2.16,0,2,0.65,Cleanliness,negative,Common areas are not kept clean.,1
L00108,PR003,Denver,A,2BR,1033.0,78.5,2019-06-20,1858.0,1856.0,-0.14,0,0,0.2,Management Responsiveness,negative,Hard to get a response from the leasing office.,1
L00109,PR003,Denver,A,1BR,719.0,6.4,2025-06-20,1231.0,1286.0,4.43,1,0,1.62,Cleanliness,negative,Common areas are not kept clean.,1
L00110,PR003,Denver,A,1BR,742.0,8.3,2025-04-23,1148.0,1133.0,-1.36,0,0,0.24,Cleanliness,negative,Common areas are not kept clean.,0
L00111,PR003,Denver,A,2BR,1100.0,17.9,2024-07-06,2017.0,1803.0,-5.0,1,1,0.68,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00112,PR003,Denver,A,2BR,1129.0,30.4,2023-06-22,2000.0,2124.0,6.18,0,2,1.11,Lighting,positive,"Well-lit throughout, common areas and parking included.",1
L00113,PR003,Denver,A,2BR,1037.0,12.6,2024-12-15,1770.0,1921.0,8.52,0,2,0.97,Management Responsiveness,positive,Management team is responsive and easy to work with.,0
L00114,PR004,Tampa,B,2BR,1077.0,12.7,2024-12-12,1459.0,1553.0,6.45,0,2,0.23,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00115,PR004,Tampa,B,1BR,762.0,1.5,2025-11-17,1043.0,1148.0,10.07,0,2,1.32,Cleanliness,negative,Common areas are not kept clean.,0
L00116,PR004,Tampa,B,1BR,811.0,26.3,2023-10-25,1138.0,1134.0,-0.34,0,2,1.07,Amenities,negative,Gym equipment has been broken for months.,1
L00117,PR004,Tampa,B,2BR,1089.0,10.6,2025-02-13,1378.0,1533.0,11.23,1,0,0.6,Noise,negative,Noise from neighboring units is a constant issue.,0
L00118,PR004,Tampa,B,Studio,510.0,25.8,2023-11-09,704.0,737.0,4.7,1,2,0.22,Management Responsiveness,negative,Management is difficult to reach when issues come up.,0
L00119,PR004,Tampa,B,1BR,730.0,12.2,2024-12-28,1040.0,1144.0,10.05,1,0,0.44,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00120,PR004,Tampa,B,2BR,1078.0,11.5,2025-01-17,1433.0,1388.0,-3.2,0,3,2.27,Management Responsiveness,negative,Management is difficult to reach when issues come up.,0
L00121,PR004,Tampa,B,1BR,716.0,1.6,2025-11-15,1043.0,1094.0,4.9,0,0,0.2,Amenities,positive,"Love the amenities, especially the fitness center.",1
L00122,PR004,Tampa,B,Studio,521.0,2.6,2025-10-16,693.0,726.0,4.73,1,0,0.2,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00123,PR004,Tampa,B,2BR,1077.0,50.1,2021-11-01,1400.0,1412.0,0.9,1,1,0.2,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00124,PR004,Tampa,B,2BR,1169.0,3.6,2025-09-13,1655.0,1747.0,5.57,2,0,0.84,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00125,PR004,Tampa,B,2BR,1075.0,53.1,2021-08-02,1653.0,1847.0,11.7,1,0,0.2,Amenities,positive,Amenity spaces are a great value for the rent.,1
L00126,PR004,Tampa,B,1BR,678.0,10.6,2025-02-12,933.0,938.0,0.52,2,2,0.2,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00127,PR004,Tampa,B,1BR,850.0,2.0,2025-10-31,1209.0,1316.0,8.81,0,1,0.44,Amenities,negative,Pool area feels outdated and underused.,1
L00128,PR004,Tampa,B,1BR,786.0,1.5,2025-11-18,1044.0,1027.0,-1.64,0,1,0.2,Amenities,positive,"Love the amenities, especially the fitness center.",0
L00129,PR004,Tampa,B,2BR,1192.0,3.3,2025-09-24,1512.0,1732.0,14.55,1,1,0.2,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00130,PR004,Tampa,B,2BR,1018.0,36.4,2022-12-22,1408.0,1519.0,7.92,0,1,0.2,Lighting,positive,"Well-lit throughout, common areas and parking included.",1
L00131,PR004,Tampa,B,Studio,514.0,7.5,2025-05-19,718.0,809.0,12.63,0,0,0.2,Cleanliness,negative,Hallways and trash areas need more attention.,1
L00132,PR004,Tampa,B,2BR,1116.0,7.0,2025-06-01,1497.0,1607.0,7.36,0,2,1.44,Safety,negative,Parking area doesn't feel very secure at night.,0
L00133,PR004,Tampa,B,Studio,534.0,5.3,2025-07-26,759.0,804.0,5.95,0,1,1.66,Noise,negative,Noise from neighboring units is a constant issue.,1
L00134,PR004,Tampa,B,1BR,762.0,2.2,2025-10-26,1002.0,1082.0,7.96,0,1,2.62,Amenities,negative,Pool area feels outdated and underused.,0
L00135,PR004,Tampa,B,Studio,463.0,9.4,2025-03-23,600.0,620.0,3.32,1,1,2.59,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00136,PR004,Tampa,B,1BR,686.0,2.0,2025-11-03,999.0,958.0,-4.09,0,2,1.49,Lighting,negative,Common area lighting could be improved.,1
L00137,PR004,Tampa,B,1BR,807.0,25.3,2023-11-25,1176.0,1249.0,6.24,0,2,1.73,Cleanliness,negative,Common areas are not kept clean.,1
L00138,PR004,Tampa,B,1BR,814.0,6.5,2025-06-19,1072.0,1075.0,0.22,0,0,0.84,Management Responsiveness,positive,Management team is responsive and easy to work with.,1
L00139,PR004,Tampa,B,1BR,746.0,6.6,2025-06-16,1127.0,1110.0,-1.51,0,1,1.22,Safety,negative,"Front gate has been broken, security is a concern.",1
L00140,PR004,Tampa,B,2BR,1155.0,9.0,2025-04-03,1555.0,1667.0,7.18,2,2,2.65,Cleanliness,positive,Property is always clean and well-maintained.,1
L00141,PR004,Tampa,B,Studio,493.0,8.2,2025-04-27,679.0,697.0,2.6,0,1,1.08,Maintenance,negative,Maintenance request took 1 days to get resolved.,1
L00142,PR004,Tampa,B,2BR,1037.0,73.8,2019-11-11,1414.0,1543.0,9.14,0,1,1.86,Safety,positive,"Always feel safe on the property, good lighting and gated access.",0
L00143,PR004,Tampa,B,3BR,1276.0,11.0,2025-01-31,1802.0,1803.0,0.06,0,0,0.2,Cleanliness,positive,Property is always clean and well-maintained.,0
L00144,PR004,Tampa,B,1BR,718.0,1.3,2025-11-23,1000.0,1016.0,1.65,0,2,0.2,Amenities,negative,Pool area feels outdated and underused.,1
L00145,PR004,Tampa,B,1BR,777.0,13.1,2024-11-30,1081.0,1187.0,9.75,0,1,1.02,Safety,negative,"Front gate has been broken, security is a concern.",0
L00146,PR004,Tampa,B,1BR,718.0,2.3,2025-10-24,923.0,973.0,5.4,2,1,0.85,Safety,positive,"Always feel safe on the property, good lighting and gated access.",0
L00147,PR004,Tampa,B,Studio,578.0,1.0,2025-12-02,712.0,688.0,-3.39,1,4,0.2,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00148,PR004,Tampa,B,1BR,767.0,49.4,2021-11-20,1123.0,1183.0,5.29,0,1,3.11,Amenities,negative,Pool area feels outdated and underused.,1
L00149,PR004,Tampa,B,2BR,1139.0,20.8,2024-04-09,1509.0,1681.0,11.41,2,1,0.88,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00150,PR005,Phoenix,B,Studio,492.0,11.1,2025-01-30,766.0,782.0,2.0,0,1,1.77,Cleanliness,positive,Property is always clean and well-maintained.,0
L00151,PR005,Phoenix,B,2BR,1119.0,10.6,2025-02-12,1733.0,1828.0,5.5,0,0,0.52,Maintenance,negative,Still waiting on a repair I submitted weeks ago.,1
L00152,PR005,Phoenix,B,1BR,786.0,12.5,2024-12-18,1261.0,1342.0,6.43,0,0,0.2,Maintenance,positive,Quick turnaround on my maintenance request.,1
L00153,PR005,Phoenix,B,1BR,705.0,1.0,2025-12-02,1099.0,1211.0,10.24,0,0,0.59,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00154,PR005,Phoenix,B,2BR,1070.0,6.3,2025-06-24,1829.0,1908.0,4.27,0,0,0.2,Noise,positive,"Building is quiet, never had a noise complaint.",1
L00155,PR005,Phoenix,B,1BR,740.0,18.0,2024-07-04,1158.0,1374.0,18.62,1,1,2.13,Amenities,negative,Gym equipment has been broken for months.,1
L00156,PR005,Phoenix,B,Studio,526.0,3.1,2025-09-28,802.0,846.0,5.53,1,0,0.54,Safety,positive,"Always feel safe on the property, good lighting and gated access.",1
L00157,PR005,Phoenix,B,2BR,1069.0,3.2,2025-09-27,1768.0,2002.0,13.21,0,0,1.22,Lighting,positive,"Well-lit throughout, common areas and parking included.",1
L00158,PR005,Phoenix,B,Studio,518.0,1.0,2025-12-02,784.0,724.0,-5.0,0,2,2.53,Maintenance,positive,"Maintenance fixed my issue the same day, very responsive.",1
L00159,PR005,Phoenix,B,2BR,1115.0,8.1,2025-05-02,1631.0,1806.0,10.75,1,0,0.2,Safety,negative,"Front gate has been broken, security is a concern.",0
L00160,PR005,Phoenix,B,2BR,1020.0,30.0,2023-07-04,1686.0,1738.0,3.1,2,2,0.86,Lighting,positive,"Well-lit throughout, common areas and parking included.",0
L00161,PR005,Phoenix,B,1BR,778.0,1.0,2025-12-02,1141.0,1076.0,-5.0,0,1,0.2,Lighting,positive,"Well-lit throughout, common areas and parking included.",1
L00162,PR005,Phoenix,B,2BR,1142.0,3.0,2025-10-03,1959.0,2079.0,6.1,2,2,0.77,Amenities,positive,Amenity spaces are a great value for the rent.,0
L00163,PR005,Phoenix,B,1BR,811.0,5.2,2025-07-28,1219.0,1249.0,2.49,0,0,2.19,Lighting,negative,Parking lot lighting is poor at night.,0
L00164,PR005,Phoenix,B,1BR,670.0,18.4,2024-06-21,951.0,1016.0,6.9,1,1,0.2,Lighting,positive,"Well-lit throughout, common areas and parking included.",0
