property_id,market,property_class,year_built,total_units,avg_unit_sqft,occupancy_pct,asking_rent_psf,effective_rent_psf,loss_to_lease_pct,concession_pct,annual_revenue,opex_ratio,noi,noi_margin,same_property_noi_growth_pct,maintenance_avg_response_hours,renovation_status,capex_per_unit_ytd,cap_rate,valuation,cluster,segment
PR021,Austin,A,2017,116,771.0,93.6,1.94,1.84,5.27,2.23,1849070.0,0.3859,1135570.0,0.6141,0.88,35.1,Completed (last 12mo),5223.0,0.0663,17117613.0,0,Renovation Opportunity
PR022,Denver,B,1989,203,706.0,91.9,1.58,1.55,1.84,0.91,2455978.0,0.4594,1327631.0,0.5406,2.89,29.8,In Progress,7465.0,0.0544,24416873.0,0,Renovation Opportunity
PR023,Dallas,A,2012,287,830.0,87.7,2.03,2.0,1.39,1.76,5009031.0,0.4281,2864783.0,0.5719,-3.41,50.6,Completed (last 12mo),7163.0,0.0507,56481481.0,3,Repositioning Candidate
PR024,Nashville,C,1991,205,781.0,88.9,1.28,1.25,2.5,2.81,2134940.0,0.4678,1136193.0,0.5322,5.86,19.8,In Progress,8075.0,0.067,16968939.0,0,Renovation Opportunity
PR025,Charlotte,A,1993,165,931.0,98.4,1.95,1.92,1.95,2.27,3473622.0,0.3624,2214872.0,0.6376,-1.74,47.3,In Progress,1758.0,0.0547,40484535.0,1,Stable Performer
PR026,Austin,B,1992,194,704.0,89.1,1.37,1.35,1.63,4.16,1967079.0,0.4708,1041032.0,0.5292,4.5,24.4,In Progress,2455.0,0.0619,16828075.0,4,Operating-Improvement Candidate
PR027,Austin,B,1996,270,960.0,88.2,1.67,1.59,4.9,1.86,4350710.0,0.5325,2033754.0,0.4675,2.58,19.6,,488.0,0.0621,32747673.0,2,Disposition-Review Candidate
PR028,Dallas,B,2018,202,732.0,96.4,1.61,1.49,7.56,2.09,2552671.0,0.4762,1337132.0,0.5238,3.71,31.6,Completed (last 12mo),6012.0,0.0571,23403905.0,0,Renovation Opportunity
PR029,Nashville,B,2017,279,709.0,94.5,1.39,1.35,2.67,3.04,3024334.0,0.4636,1622244.0,0.5364,1.82,35.1,,412.0,0.062,26161598.0,1,Stable Performer
PR030,Charlotte,A,2007,128,746.0,100.0,1.85,1.84,0.62,6.99,2103480.0,0.4233,1213058.0,0.5767,3.54,58.7,,518.0,0.0509,23848690.0,1,Stable Performer
PR031,Denver,C,2008,159,996.0,83.7,1.33,1.26,5.31,0.92,2007649.0,0.4897,1024577.0,0.5103,1.82,34.8,Completed (last 12mo),5394.0,0.0695,14747248.0,3,Repositioning Candidate
PR032,Atlanta,C,2021,184,816.0,91.9,1.29,1.28,1.13,6.35,2113807.0,0.5473,956837.0,0.4527,1.61,32.9,,541.0,0.069,13870473.0,2,Disposition-Review Candidate
PR033,Charlotte,C,2019,128,868.0,90.3,1.09,1.07,1.63,0.13,1292112.0,0.4798,672179.0,0.5202,0.76,53.9,,232.0,0.0706,9524046.0,2,Disposition-Review Candidate
PR034,Dallas,C,2006,426,803.0,89.2,1.16,1.1,4.99,2.96,4037746.0,0.4457,2238007.0,0.5543,6.81,39.0,In Progress,400.0,0.0698,32050373.0,4,Operating-Improvement Candidate
PR035,Austin,B,2011,143,812.0,95.6,1.53,1.47,3.67,1.82,1961956.0,0.3967,1183582.0,0.6033,3.92,20.3,Completed (last 12mo),5935.0,0.0553,21385362.0,0,Renovation Opportunity
PR036,Denver,C,2019,284,774.0,88.9,1.29,1.26,2.63,0.87,2952611.0,0.5032,1466974.0,0.4968,3.52,50.3,,611.0,0.0688,21337101.0,2,Disposition-Review Candidate
PR037,Charlotte,A,1985,173,825.0,85.3,2.14,2.05,4.14,3.9,2990176.0,0.4624,1607436.0,0.5376,0.81,18.9,Completed (last 12mo),7731.0,0.0559,28745071.0,3,Repositioning Candidate
PR038,Atlanta,A,2019,184,865.0,89.6,1.96,1.9,3.18,3.7,3245730.0,0.4295,1851691.0,0.5705,2.41,20.3,Completed (last 12mo),4366.0,0.0443,41843042.0,0,Renovation Opportunity
PR039,Atlanta,A,2021,241,971.0,98.5,2.13,1.96,7.78,1.54,5419445.0,0.4073,3212077.0,0.5927,0.53,17.3,,831.0,0.0504,63787701.0,1,Stable Performer
PR040,Phoenix,B,1998,117,651.0,96.7,1.68,1.64,2.65,0.0,1446872.0,0.4783,754779.0,0.5217,1.77,16.0,,366.0,0.0616,12243222.0,1,Stable Performer
